Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Guinea,Guinea,Ebola,Humans,2948085,PRO/MENA> Ebola virus disease - West Africa (06): MSF/UK concerns,http://promedmail.org/direct.php?id=20141113.2948085,11/13/14 18:19,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2948085,PRO/MENA> Ebola virus disease - West Africa (06): MSF/UK concerns,http://promedmail.org/direct.php?id=20141113.2948085,11/13/14 18:19,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2948085,PRO/MENA> Ebola virus disease - West Africa (06): MSF/UK concerns,http://promedmail.org/direct.php?id=20141113.2948085,11/13/14 18:19,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2951848,PRO/EAFR> Ebola virus disease - West Africa (47): WHO update,http://promedmail.org/direct.php?id=20141113.2951848,11/13/14 14:04,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2951848,PRO/EAFR> Ebola virus disease - West Africa (47): WHO update,http://promedmail.org/direct.php?id=20141113.2951848,11/13/14 14:04,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2951848,PRO/EAFR> Ebola virus disease - West Africa (47): WHO update,http://promedmail.org/direct.php?id=20141113.2951848,11/13/14 14:04,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2949360,PRO/EAFR> Ebola virus disease - West Africa (46): Mali ex Guinea,http://promedmail.org/direct.php?id=20141112.2949360,11/12/14 14:14,No Tag,,,,,,-10.94177,10.43821
Liberia,Liberia,Ebola,Humans,2944063,"PRO/AH/EDR> Ebola virus disease - West Africa (206): Sierra Leone, Liberia, more",http://promedmail.org/direct.php?id=20141111.2944063,11/11/14 2:53,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2941159,PRO/EAFR> Ebola virus disease - West Africa (45): WHO update,http://promedmail.org/direct.php?id=20141109.2941159,11/9/14 23:38,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2941159,PRO/EAFR> Ebola virus disease - West Africa (45): WHO update,http://promedmail.org/direct.php?id=20141109.2941159,11/9/14 23:38,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2941159,PRO/EAFR> Ebola virus disease - West Africa (45): WHO update,http://promedmail.org/direct.php?id=20141109.2941159,11/9/14 23:38,No Tag,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,2939878,"PRO/AH/EDR> Ebola virus disease - West Africa (205): WHO, Nigeria, Sierra Leone, crisis fund",http://promedmail.org/direct.php?id=20141108.2939878,11/8/14 23:26,No Tag,,,,,,-11.79192,8.56028
